Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.112132938,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.112455547,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.142852811,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.173280667,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.193580293,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.195876497,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.206778256,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.15410535,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.150522057,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.150522057,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.149512654,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.14951539,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.151693449,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.152677808,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.143848108,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.148242008,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.137760692,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.137843448,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.133989657,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.134722713,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.130082651,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.130846292,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.144033416,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.153391549,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.112132938,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.112455547,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.142852811,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.173280667,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.193580293,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.195876497,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.206778256,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.15410535,Model 3
