Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Number of knots,Minimum sigma rep1,Minimum sigma rep2,Length of mean-var curve,Evaluation Value
MAFK MEL,Number of knots,SDPM,2,1,7,1000,6015,0.049947554,0.049947554,66166,0.665546706
MAFK MEL,Number of knots,SDPM,2,1,7,1000,5514,0.050025075,0.050025075,66166,0.666507054
MAFK MEL,Number of knots,SDPM,2,1,7,1000,5090,0.050077885,0.050077885,66166,0.665226769
MAFK MEL,Number of knots,SDPM,2,1,7,1000,4726,0.05010148,0.05010148,66166,0.66682181
MAFK MEL,Number of knots,SDPM,2,1,7,1000,4411,0.05004314,0.05004314,66166,0.664101741
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,7,0.167266052,0.167266052,66152,0.592264067
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,10,0.128385673,0.128385673,66152,0.613566891
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,50,0.10535519,0.10535519,66152,0.632945147
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,100,0.109670178,0.109670178,66152,0.631730545
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,200,0.115721725,0.115721725,66152,0.627970155
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,500,0.117134752,0.117134752,66152,0.625419777
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,33076,-0.050241105,-0.050436746,66152,0.686225881
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,22051,0.049930395,0.049930395,66152,0.667533786
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,16538,0.049931295,0.049931295,66152,0.653248971
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,13230,0.049929726,0.049929726,66152,0.67652594
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,11025,0.04993524,0.04993524,66152,0.668211868
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,9450,0.049949474,0.049949474,66152,0.667114932
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,8269,0.049962249,0.049962249,66152,0.669064214
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,7350,0.049927692,0.049927692,66152,0.666063749
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,6615,0.049917928,0.049917928,66152,0.666571273
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,6014,0.049947554,0.049947554,66152,0.664869509
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,5513,0.050025075,0.050025075,66152,0.666169221
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,5089,0.050077885,0.050077885,66152,0.664220314
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,4725,0.050101463,0.050101463,66152,0.667321646
MAFK MEL,Number of knots,SDPM,1,Inf,0,1000,4410,0.050043179,0.050043179,66152,0.663321844
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,7,0.238714785,0.238714785,66466,0.580019365
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,10,0.215832986,0.215832986,66466,0.595427059
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,50,0.217739159,0.217739159,66466,0.60495001
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,100,0.219078623,0.219078623,66466,0.605044732
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,200,0.23005283,0.23005283,66466,0.600102843
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,500,0.233022164,0.233022164,66466,0.597204102
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,33233,0.159658368,0.109096054,66466,0.507474601
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,22155,0.155003312,0.137848372,66466,0.51698343
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,16616,0.154416967,0.136705927,66466,0.521556859
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,13293,0.156930951,0.151151446,66466,0.535067449
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,11078,0.164212436,0.163567135,66466,0.54592719
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,9495,0.186792481,0.186769073,66466,0.560317919
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,8308,0.193860714,0.193803358,66466,0.56725577
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,7385,0.205006579,0.205002029,66466,0.579704412
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,6647,0.200905015,0.200904884,66466,0.575681577
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,6042,0.202447246,0.202448369,66466,0.57736099
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,5539,0.206415892,0.206415754,66466,0.581390929
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,5113,0.212955315,0.212943882,66466,0.589910297
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,4748,0.217018417,0.21685435,66466,0.596222851
MAFK MEL,Number of knots,SDPM,1.002313162,300,1994,1000,4431,0.213266997,0.213263761,66466,0.588795361
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,7,0.362721253,0.362721289,66466,0.510399271
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,10,0.361247045,0.361246949,66466,0.533630142
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,50,0.363491899,0.363491912,66466,0.593699688
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,100,0.346619857,0.346619857,66466,0.602270299
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,200,0.339658234,0.339658234,66466,0.604689579
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,500,0.335695672,0.335695672,66466,0.609649905
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,33233,0.297144017,0.29714434,66466,0.548496791
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,22155,0.309014211,0.309014216,66466,0.550470749
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,16616,0.312760454,0.312758697,66466,0.548335832
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,13293,0.31361827,0.313618179,66466,0.547326426
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,11078,0.315097563,0.315095875,66466,0.549230627
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,9495,0.318383055,0.318383033,66466,0.554230648
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,8308,0.322676492,0.322676492,66466,0.559861325
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,7385,0.327985057,0.327985048,66466,0.564791211
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,6647,0.333516124,0.333516123,66466,0.569420847
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,6042,0.338765577,0.338765288,66466,0.576969669
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,5539,0.343816548,0.34381641,66466,0.583465782
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,5113,0.347577044,0.347576982,66466,0.587141638
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,4748,0.350621292,0.350621264,66466,0.59355584
MAFK MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,4431,0.353021797,0.353021808,66466,0.595424304
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,7,0.39980699,0.399806852,66466,0.493061701
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,10,0.403993764,0.403993763,66466,0.493891263
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,50,0.409073706,0.409073706,66466,0.570194716
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,100,0.407509033,0.407508697,66466,0.572535704
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,200,0.396277603,0.396276347,66466,0.573692843
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,500,0.396713611,0.396714458,66466,0.577263854
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,33233,0.385184775,0.385182088,66466,0.574183896
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,22155,0.39200256,0.391995709,66466,0.575724741
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,16616,0.394311511,0.394280114,66466,0.574604011
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,13293,0.394750804,0.394750883,66466,0.57422438
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,11078,0.394727305,0.394727291,66466,0.574537571
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,9495,0.394801747,0.394801496,66466,0.576222431
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,8308,0.395125092,0.39512511,66466,0.575801342
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,7385,0.395762723,0.395762639,66466,0.577553972
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,6647,0.396175616,0.39617536,66466,0.578201629
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,6042,0.396190637,0.396190374,66466,0.576847389
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,5539,0.39634711,0.396346855,66466,0.576014426
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,5113,0.396340471,0.396340206,66466,0.575393267
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,4748,0.396392131,0.396391936,66466,0.575335183
MAFK MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,4431,0.396440776,0.39644065,66466,0.574490197
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,7,0.423518583,0.423518326,66466,0.682904593
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,10,0.438466703,0.438466763,66466,0.543389859
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,50,0.429918686,0.429918401,66466,0.613049951
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,100,0.423933368,0.42393315,66466,0.61638924
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,200,0.406252214,0.406252871,66466,0.614037291
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,500,-0.228712188,-0.228711579,66466,0.614700785
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,33233,0.395666213,0.395668566,66466,0.627057498
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,22155,0.399319437,0.399310767,66466,0.62649824
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,16616,0.4032299,0.403225435,66466,0.624820044
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,13293,0.403673042,0.40367787,66466,0.623306165
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,11078,0.403638873,0.403643025,66466,0.623190502
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,9495,0.403503089,0.403504411,66466,0.623134019
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,8308,0.403252942,0.403249054,66466,0.622206778
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,7385,0.403310013,0.403307231,66466,0.62152682
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,6647,0.403138734,0.403132473,66466,0.620530999
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,6042,0.403205114,0.40320028,66466,0.619420278
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,5539,0.403163957,0.403158213,66466,0.617456354
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,5113,0.403024648,0.403016193,66466,0.616124535
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,4748,0.403173617,0.403168097,66466,0.615679248
MAFK MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,4431,0.403235618,0.403231409,66466,0.619555527
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,7,-24.85667565,-16.54787518,66466,0.800579161
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,10,-6.480220987,-3.421943871,66466,0.82728255
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,50,0.387685558,0.387690629,66466,0.886349582
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,100,-0.002487711,-0.002487724,66466,0.903981035
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,200,0.387705046,0.387704806,66466,0.92835223
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,500,-88.03230975,-88.03232223,66466,11.28130502
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,33233,0.334317221,0.334194348,66466,1.345388501
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,22155,0.330470714,0.330666915,66466,1.28321341
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,16616,0.328948563,0.329095938,66466,1.314328011
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,13293,0.328163252,0.328265497,66466,1.316601209
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,11078,0.327437351,0.327560294,66466,1.307264369
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,9495,0.326506869,0.326564556,66466,1.294467002
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,8308,0.32589922,0.325901492,66466,1.277921073
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,7385,0.326036814,0.326254787,66466,1.263573872
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,6647,0.326920405,0.327431721,66466,1.252443615
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,6042,0.327960997,0.328082941,66466,1.253179631
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,5539,0.329949123,0.329811772,66466,1.253715587
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,5113,0.332181321,0.331879738,66466,1.265190084
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,4748,0.334808763,0.334224646,66466,1.286503469
MAFK MEL,Number of knots,SDPM,1.000006931,1.00E+05,664386,1000,4431,0.338116161,0.337415533,66466,1.312825417
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,7,0.332653851,0.332653662,66466,0.757405777
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,10,0.433345606,0.433345605,66466,1.038565936
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,50,0.403326991,0.403326972,66466,1.539485514
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,100,0.415822153,0.415818706,66466,1.403198152
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,200,0.410080722,0.410078807,66466,1.563892102
MAFK MEL,Number of knots,SDPM,1.000000693,1.00E+06,6643857,1000,500,0.409584723,0.409580399,66466,1.702983915
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,7,0.178679964,0.178679964,54566,0.624045313
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,10,0.18191239,0.18191239,54566,0.617388237
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,50,0.170191123,0.170191123,54566,0.62647155
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,100,0.177408026,0.177408026,54566,0.630790907
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,200,0.171532652,0.171532652,54566,0.670182304
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,500,-6.894728049,-1.176178034,54566,0.657636459
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,27283,0.135382649,0.134589308,54566,0.697565384
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,18189,0.14557654,0.133203128,54566,0.67380254
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,13642,-18.00236536,-8.119725111,54566,0.692838542
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,10913,0.134434891,0.126884187,54566,0.704278334
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,9094,0.123646752,0.123646752,54566,0.720393753
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,7795,0.140016016,0.13006823,54566,0.703670386
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,6821,0.140578093,0.129868195,54566,0.710035948
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,6063,0.138346893,0.126746753,54566,0.708374045
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,5457,0.133614644,0.122971938,54566,0.709389146
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,4961,0.130410039,0.121090106,54566,0.709059044
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,4547,0.129329106,0.120468161,54566,0.704436816
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,4197,0.128458446,0.120078142,54566,0.702123867
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,3898,0.127267733,0.120247801,54566,0.708165602
ZC3H11A MEL,Number of knots,SDPM,2,1,7,1000,3638,0.127005198,0.120790355,54566,0.705323635
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,7,0.178679964,0.178679964,54562,0.624045313
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,10,0.18191239,0.18191239,54562,0.617388237
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,50,0.170191123,0.170191123,54562,0.62647155
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,100,0.177408026,0.177408026,54562,0.630790907
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,200,0.171532652,0.171532652,54562,0.670182304
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,500,-6.894728049,-1.176178034,54562,0.657636459
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,27281,0.135400119,0.134606002,54562,0.697760712
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,18187,0.145576814,0.133201168,54562,0.673460332
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,13640,-18.00236536,-8.119725111,54562,0.691645886
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,10912,0.134434635,0.126884732,54562,0.704393729
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,9094,0.123646752,0.123646752,54562,0.720393753
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,7795,0.140016016,0.13006823,54562,0.703670386
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,6820,0.140578192,0.129868263,54562,0.709653387
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,6062,0.138346776,0.126746694,54562,0.70834766
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,5456,0.133513447,0.122913327,54562,0.708897917
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,4960,0.130410045,0.121090113,54562,0.708807121
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,4547,0.129329106,0.120468161,54562,0.704436816
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,4197,0.128458446,0.120078142,54562,0.702123867
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,3897,0.127244847,0.120273967,54562,0.707806216
ZC3H11A MEL,Number of knots,SDPM,1,Inf,0,1000,3637,0.127005239,0.120790418,54562,0.705245348
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,7,0.278624691,0.278624691,54806,0.600054394
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,10,0.287227729,0.287227729,54806,0.59071848
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,50,0.285481487,0.285481487,54806,0.592277726
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,100,0.275269668,0.275269668,54806,0.606049683
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,200,0.276417114,0.276417114,54806,0.637120879
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,500,0.243660982,0.243660982,54806,0.663801272
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,27403,0.224773504,0.224752183,54806,0.498673667
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,18269,-14.71642638,-5.822078468,54806,0.48332076
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,13702,0.243594711,0.24358317,54806,0.499719083
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,10961,0.25415186,0.254135272,54806,0.545487804
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,9134,0.263225425,0.26321702,54806,0.565660226
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,7829,0.261959478,0.261933338,54806,0.556900502
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,6851,0.264870523,0.264869448,54806,0.559259823
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,6090,0.265781488,0.265781106,54806,0.5598612
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,5481,0.264009079,0.264008756,54806,0.552418305
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,4982,0.271945687,0.271945351,54806,0.572100012
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,4567,0.280561753,0.280561854,54806,0.593256574
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,4216,0.291833091,0.291832903,54806,0.62364792
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,3915,0.294587324,0.294586359,54806,0.632368946
ZC3H11A MEL,Number of knots,SDPM,1.002313162,300,1994,1000,3654,0.294379483,0.294378726,54806,0.630044474
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,7,0.37840229,0.378402402,54806,0.460270144
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,10,0.38083997,0.380839783,54806,0.489076721
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,50,0.385009871,0.38500991,54806,0.552909536
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,100,0.38132387,0.381323894,54806,0.544718818
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,200,0.382547991,0.382547942,54806,0.573667483
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,500,0.383176014,0.383176229,54806,0.605212956
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,27403,0.345746979,0.345761739,54806,0.720899968
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,18269,0.358036973,0.358029864,54806,0.589941492
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,13702,0.360182084,0.360181716,54806,0.538975253
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,10961,-35.19058573,-20.34392447,54806,0.538956346
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,9134,-29.31744854,-16.32018025,54806,0.543060556
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,7829,-19.71084029,-9.724653513,54806,0.548141894
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,6851,-7.230115531,-1.148623764,54806,0.551832443
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,6090,0.372220984,0.372221674,54806,0.556223828
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,5481,0.373168871,0.373169415,54806,0.559836508
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,4982,0.372969669,0.372970137,54806,0.56047693
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,4567,0.375594593,0.375593968,54806,0.567502882
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,4216,0.373762601,0.373763122,54806,0.563166481
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,3915,0.373690271,0.373690856,54806,0.562488757
ZC3H11A MEL,Number of knots,SDPM,1.000693387,1000,6644,1000,3654,0.374012157,0.374012494,54806,0.563450266
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,7,0.400813148,0.400813245,54806,0.502843915
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,10,0.410476749,0.410476924,54806,0.480921423
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,50,0.413504059,0.413504101,54806,0.532701313
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,100,0.40448579,0.404485791,54806,0.539432644
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,200,0.40346425,0.403464956,54806,0.564980898
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,500,0.39730848,0.397308164,54806,0.590467738
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,27403,-432.3080026,-302.0612692,54806,0.987166031
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,18269,-15.45072494,-7.525447807,54806,0.606919749
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,13702,0.378658442,0.37866091,54806,0.616459053
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,10961,0.38342771,0.383429774,54806,0.626306941
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,9134,0.388024186,0.38802474,54806,0.628937037
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,7829,0.391906032,0.391899151,54806,0.628122106
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,6851,0.395063711,0.395063058,54806,0.626302385
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,6090,0.395491084,0.395486111,54806,0.625669123
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,5481,0.394405126,0.394404343,54806,0.626115073
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,4982,0.397212277,0.397212277,54806,0.623258104
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,4567,0.396452627,0.396451847,54806,0.622475749
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,4216,0.397105511,0.397104439,54806,0.62127886
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,3915,0.397287837,0.397287837,54806,0.619228185
ZC3H11A MEL,Number of knots,SDPM,1.000231076,3000,19932,1000,3654,0.397801874,0.397801575,54806,0.617109476
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,7,0.397621132,0.39762135,54806,0.528223708
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,10,0.423393788,0.423393818,54806,0.577563651
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,50,0.278206999,0.278207122,54806,0.611501804
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,100,0.417689443,0.417689273,54806,0.61118964
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,200,-0.171015652,-0.171015794,54806,0.637301291
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,500,-0.062486502,-0.062485296,54806,0.648033508
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,27403,0.331104984,0.331105076,54806,0.839905118
ZC3H11A MEL,Number of knots,SDPM,1.000069317,10000,66439,1000,18269,0.235384514,0.235385482,54806,0.705200035
